file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,1650554a,amelialei,2025-01-24,10:36:11,-08:00,2025-01-24T10:36:11-08:00,0,6
style.css,2,css,c9239848,amelialei,2025-01-24,14:30:21,-08:00,2025-01-24T14:30:21-08:00,0,46
style.css,3,css,1650554a,amelialei,2025-01-24,10:36:11,-08:00,2025-01-24T10:36:11-08:00,0,33
style.css,4,css,1650554a,amelialei,2025-01-24,10:36:11,-08:00,2025-01-24T10:36:11-08:00,0,24
style.css,5,css,1650554a,amelialei,2025-01-24,10:36:11,-08:00,2025-01-24T10:36:11-08:00,0,0
style.css,6,css,1650554a,amelialei,2025-01-24,10:36:11,-08:00,2025-01-24T10:36:11-08:00,0,5
style.css,7,css,1650554a,amelialei,2025-01-24,10:36:11,-08:00,2025-01-24T10:36:11-08:00,0,24
style.css,8,css,1650554a,amelialei,2025-01-24,10:36:11,-08:00,2025-01-24T10:36:11-08:00,0,16
style.css,9,css,1650554a,amelialei,2025-01-24,10:36:11,-08:00,2025-01-24T10:36:11-08:00,0,19
style.css,10,css,1650554a,amelialei,2025-01-24,10:36:11,-08:00,2025-01-24T10:36:11-08:00,0,13
style.css,11,css,1650554a,amelialei,2025-01-24,10:36:11,-08:00,2025-01-24T10:36:11-08:00,0,0
style.css,12,css,1650554a,amelialei,2025-01-24,10:36:11,-08:00,2025-01-24T10:36:11-08:00,0,4
style.css,13,css,c9239848,amelialei,2025-01-24,14:30:21,-08:00,2025-01-24T14:30:21-08:00,0,35
style.css,14,css,1650554a,amelialei,2025-01-24,10:36:11,-08:00,2025-01-24T10:36:11-08:00,0,13
style.css,15,css,1650554a,amelialei,2025-01-24,10:36:11,-08:00,2025-01-24T10:36:11-08:00,0,18
style.css,16,css,1650554a,amelialei,2025-01-24,10:36:11,-08:00,2025-01-24T10:36:11-08:00,0,24
style.css,17,css,1650554a,amelialei,2025-01-24,10:36:11,-08:00,2025-01-24T10:36:11-08:00,0,26
style.css,18,css,1650554a,amelialei,2025-01-24,10:36:11,-08:00,2025-01-24T10:36:11-08:00,0,40
style.css,19,css,1650554a,amelialei,2025-01-24,10:36:11,-08:00,2025-01-24T10:36:11-08:00,0,0
style.css,20,css,1650554a,amelialei,2025-01-24,10:36:11,-08:00,2025-01-24T10:36:11-08:00,0,6
style.css,21,css,1650554a,amelialei,2025-01-24,10:36:11,-08:00,2025-01-24T10:36:11-08:00,0,7
style.css,22,css,1650554a,amelialei,2025-01-24,10:36:11,-08:00,2025-01-24T10:36:11-08:00,0,21
style.css,23,css,1650554a,amelialei,2025-01-24,10:36:11,-08:00,2025-01-24T10:36:11-08:00,0,14
style.css,24,css,1650554a,amelialei,2025-01-24,10:36:11,-08:00,2025-01-24T10:36:11-08:00,0,18
style.css,25,css,1650554a,amelialei,2025-01-24,10:36:11,-08:00,2025-01-24T10:36:11-08:00,0,14
style.css,26,css,1650554a,amelialei,2025-01-24,10:36:11,-08:00,2025-01-24T10:36:11-08:00,0,0
style.css,27,css,1650554a,amelialei,2025-01-24,10:36:11,-08:00,2025-01-24T10:36:11-08:00,0,14
style.css,28,css,1650554a,amelialei,2025-01-24,10:36:11,-08:00,2025-01-24T10:36:11-08:00,0,26
style.css,29,css,1650554a,amelialei,2025-01-24,10:36:11,-08:00,2025-01-24T10:36:11-08:00,0,26
style.css,30,css,c9239848,amelialei,2025-01-24,14:30:21,-08:00,2025-01-24T14:30:21-08:00,0,40
style.css,31,css,1650554a,amelialei,2025-01-24,10:36:11,-08:00,2025-01-24T10:36:11-08:00,0,21
style.css,32,css,1650554a,amelialei,2025-01-24,10:36:11,-08:00,2025-01-24T10:36:11-08:00,0,0
style.css,33,css,1650554a,amelialei,2025-01-24,10:36:11,-08:00,2025-01-24T10:36:11-08:00,0,12
style.css,34,css,1650554a,amelialei,2025-01-24,10:36:11,-08:00,2025-01-24T10:36:11-08:00,0,26
style.css,35,css,1650554a,amelialei,2025-01-24,10:36:11,-08:00,2025-01-24T10:36:11-08:00,0,26
style.css,36,css,1650554a,amelialei,2025-01-24,10:36:11,-08:00,2025-01-24T10:36:11-08:00,0,40
style.css,37,css,1650554a,amelialei,2025-01-24,10:36:11,-08:00,2025-01-24T10:36:11-08:00,0,21
style.css,38,css,1650554a,amelialei,2025-01-24,10:36:11,-08:00,2025-01-24T10:36:11-08:00,0,70
style.css,39,css,1650554a,amelialei,2025-01-24,10:36:11,-08:00,2025-01-24T10:36:11-08:00,0,0
style.css,40,css,1650554a,amelialei,2025-01-24,10:36:11,-08:00,2025-01-24T10:36:11-08:00,0,5
style.css,41,css,1650554a,amelialei,2025-01-24,10:36:11,-08:00,2025-01-24T10:36:11-08:00,0,13
style.css,42,css,1650554a,amelialei,2025-01-24,10:36:11,-08:00,2025-01-24T10:36:11-08:00,0,31
style.css,43,css,1650554a,amelialei,2025-01-24,10:36:11,-08:00,2025-01-24T10:36:11-08:00,0,8
style.css,44,css,1650554a,amelialei,2025-01-24,10:36:11,-08:00,2025-01-24T10:36:11-08:00,0,0
style.css,45,css,1650554a,amelialei,2025-01-24,10:36:11,-08:00,2025-01-24T10:36:11-08:00,0,6
style.css,46,css,1650554a,amelialei,2025-01-24,10:36:11,-08:00,2025-01-24T10:36:11-08:00,0,19
style.css,47,css,1650554a,amelialei,2025-01-24,10:36:11,-08:00,2025-01-24T10:36:11-08:00,0,0
style.css,48,css,1650554a,amelialei,2025-01-24,10:36:11,-08:00,2025-01-24T10:36:11-08:00,0,7
style.css,49,css,1650554a,amelialei,2025-01-24,10:36:11,-08:00,2025-01-24T10:36:11-08:00,0,19
style.css,50,css,1650554a,amelialei,2025-01-24,10:36:11,-08:00,2025-01-24T10:36:11-08:00,0,0
style.css,51,css,1650554a,amelialei,2025-01-24,10:36:11,-08:00,2025-01-24T10:36:11-08:00,0,10
style.css,52,css,1650554a,amelialei,2025-01-24,10:36:11,-08:00,2025-01-24T10:36:11-08:00,0,13
